antibody,arm1_target,arm1_pdb,arm2_target,arm2_pdb,n_arms
Pacanalotamab,CD3E,Pacanalotamab_CD3E_fixed.pdb,TNFRSF17_CD269_BCMA_TNFRSF13A,Pacanalotamab_TNFRSF17_CD269_BCMA_TNFRSF13A_fixed.pdb,2
Pamvatamig,EGFR_ERBB1_HER1,Pamvatamig_EGFR_ERBB1_HER1_fixed.pdb,MET_HGFR,Pamvatamig_MET_HGFR_fixed.pdb,2
Pasotuxizumab,CD3E,Pasotuxizumab_CD3E_fixed.pdb,FOLH1_GCPII_PSMA,Pasotuxizumab_FOLH1_GCPII_PSMA_fixed.pdb,2
Pasritamig,CD3E,Pasritamig_CD3E_fixed.pdb,KLK2_KLK2A2_hGK-1_hK2,Pasritamig_KLK2_KLK2A2_hGK-1_hK2_fixed.pdb,2
Pavurutamab,CD3E,Pavurutamab_CD3E_fixed.pdb,TNFRSF17_CD269_BCMA_TNFRSF13A,Pavurutamab_TNFRSF17_CD269_BCMA_TNFRSF13A_fixed.pdb,2
Peluntamig,DLL3,Peluntamig_DLL3_fixed.pdb,IAP_CD47,Peluntamig_IAP_CD47_fixed.pdb,2
Petosemtamab,EGFR_ERBB1_HER1,Petosemtamab_EGFR_ERBB1_HER1_fixed.pdb,LGR5,Petosemtamab_LGR5_fixed.pdb,2
Plamotamab,CD3E,Plamotamab_CD3E_fixed.pdb,MS4A1_CD20,Plamotamab_MS4A1_CD20_fixed.pdb,2
Ragistomig,PDL1_CD274,Ragistomig_PDL1_CD274_fixed.pdb,TNFRSF9_CD137_4-1BB,Ragistomig_TNFRSF9_CD137_4-1BB_fixed.pdb,2
Ramantamig1,CD3E,Ramantamig1_CD3E_fixed.pdb,GPRC5D,Ramantamig1_GPRC5D_fixed.pdb,2
Remtolumab,IL17A,Remtolumab_IL17A_fixed.pdb,TNF_TNFA,Remtolumab_TNF_TNFA_fixed.pdb,2
Reozalimab,PDCD1_CD279_PD1,Reozalimab_PDCD1_CD279_PD1_fixed.pdb,PDL1_CD274,Reozalimab_PDL1_CD274_fixed.pdb,2
Rezetamig,CD3,Rezetamig_CD3_fixed.pdb,SIGLEC2_CD22,Rezetamig_SIGLEC2_CD22_fixed.pdb,2
Rilvegostomig,PDCD1_CD279_PD1,Rilvegostomig_PDCD1_CD279_PD1_fixed.pdb,TIGIT_WUCAM_VSTM3,Rilvegostomig_TIGIT_WUCAM_VSTM3_fixed.pdb,2
Romilkimab,IL13,Romilkimab_IL13_fixed.pdb,IL4,Romilkimab_IL4_fixed.pdb,2
Runimotamab,CD3E,Runimotamab_CD3E_fixed.pdb,ERBB2_CD340_HER2,Runimotamab_ERBB2_CD340_HER2_fixed.pdb,2
Sabestomig,HAVCR2_TIM3,Sabestomig_HAVCR2_TIM3_fixed.pdb,PDCD1_CD279_PD1,Sabestomig_PDCD1_CD279_PD1_fixed.pdb,2
Safimestomig,IAP_CD47,Safimestomig_IAP_CD47_fixed.pdb,PDL1_CD274,Safimestomig_PDL1_CD274_fixed.pdb,2
Silevimig,RabiesLyssavirusGlycoproteinGepitopeI,Silevimig_RabiesLyssavirusGlycoproteinGepitopeI_fixed.pdb,RabiesLyssavirusGlycoproteinGepitopeIII,Silevimig_RabiesLyssavirusGlycoproteinGepitopeIII_fixed.pdb,2
Solitomab,CD3E,Solitomab_CD3E_fixed.pdb,EPCAM_CD326,Solitomab_EPCAM_CD326_fixed.pdb,2
Spevatamig,CLDN18,Spevatamig_CLDN18_fixed.pdb,IAP_CD47,Spevatamig_IAP_CD47_fixed.pdb,2
Sutacimig,F7a_F7A_FVIIa_FVIIA,Sutacimig_F7a_F7A_FVIIa_FVIIA_fixed.pdb,TREML1_GLTL1825_PRO3438_TLT-1_TLT1,Sutacimig_TREML1_GLTL1825_PRO3438_TLT-1_TLT1_fixed.pdb,2
Talquetamab,CD3E,Talquetamab_CD3E_fixed.pdb,GPRC5D,Talquetamab_GPRC5D_fixed.pdb,2
Tarlatamab,CD3E,Tarlatamab_CD3E_fixed.pdb,DLL3,Tarlatamab_DLL3_fixed.pdb,2
Tebotelimab,LAG3_CD223,Tebotelimab_LAG3_CD223_fixed.pdb,PDCD1_CD279_PD1,Tebotelimab_PDCD1_CD279_PD1_fixed.pdb,2
Tecaginlimab,CD40,Tecaginlimab_CD40_fixed.pdb,TNFRSF9_CD137_4-1BB,Tecaginlimab_TNFRSF9_CD137_4-1BB_fixed.pdb,2
Teclistamab,CD3E,Teclistamab_CD3E_fixed.pdb,TNFRSF17_CD269_BCMA_TNFRSF13A,Teclistamab_TNFRSF17_CD269_BCMA_TNFRSF13A_fixed.pdb,2
Tepoditamab,CD3E,Tepoditamab_CD3E_fixed.pdb,CLEC12A,Tepoditamab_CLEC12A_fixed.pdb,2
Tibulizumab,IL17A,Tibulizumab_IL17A_fixed.pdb,TNFSF13B_CD257_BAFF,Tibulizumab_TNFSF13B_CD257_BAFF_fixed.pdb,2
Tidutamab,CD3E,Tidutamab_CD3E_fixed.pdb,SSTR2,Tidutamab_SSTR2_fixed.pdb,2
Tilatamig,EGFR_ERBB1_HER1,Tilatamig_EGFR_ERBB1_HER1_fixed.pdb,MET_HGFR,Tilatamig_MET_HGFR_fixed.pdb,2
Tilrekimig1,IL13,Tilrekimig1_IL13_fixed.pdb,IL4,Tilrekimig1_IL4_fixed.pdb,2
Tobemstomig,LAG3_CD223,Tobemstomig_LAG3_CD223_fixed.pdb,PDCD1_CD279_PD1,Tobemstomig_PDCD1_CD279_PD1_fixed.pdb,2
Tovecimig_VEGFA,,Tovecimig_VEGFA_fixed.pdb,,,1
Trevotamig,CD3E,Trevotamig_CD3E_fixed.pdb,EPCAM_CD326,Trevotamig_EPCAM_CD326_fixed.pdb,2
Trontinemab,APPAbeta1-40_42,Trontinemab_APPAbeta1-40_42_fixed.pdb,TFRC_CD71,Trontinemab_TFRC_CD71_fixed.pdb,2
Ubamatamab,CD3E,Ubamatamab_CD3E_fixed.pdb,MUC16_CA125,Ubamatamab_MUC16_CA125_fixed.pdb,2
Ubletamig,CD28,Ubletamig_CD28_fixed.pdb,MUC16_CA125,Ubletamig_MUC16_CA125_fixed.pdb,2
Umizortamig1,CD3E,Umizortamig1_CD3E_fixed.pdb,EGFRvIII,Umizortamig1_EGFRvIII_fixed.pdb,2
Umizortamig2,PDL1_CD274,Umizortamig2_PDL1_CD274_fixed.pdb,TNFRSF9_CD137_4-1BB,Umizortamig2_TNFRSF9_CD137_4-1BB_fixed.pdb,2
Vanucizumab,ANGPT2,Vanucizumab_ANGPT2_fixed.pdb,VEGFA,Vanucizumab_VEGFA_fixed.pdb,2
Velaprumig,ALB,Velaprumig_ALB_fixed.pdb,CD40LG_CD154,Velaprumig_CD40LG_CD154_fixed.pdb,2
Velinotamig,CD3E,Velinotamig_CD3E_fixed.pdb,TNFRSF17_CD269_BCMA_TNFRSF13A,Velinotamig_TNFRSF17_CD269_BCMA_TNFRSF13A_fixed.pdb,2
Vepsitamab,CD3E,Vepsitamab_CD3E_fixed.pdb,MUC17,Vepsitamab_MUC17_fixed.pdb,2
Vibecotamab,CD3E,Vibecotamab_CD3E_fixed.pdb,IL3RA_CD123,Vibecotamab_IL3RA_CD123_fixed.pdb,2
Vixtimotamab,CD3E,Vixtimotamab_CD3E_fixed.pdb,SIGLEC3_CD33_p67,Vixtimotamab_SIGLEC3_CD33_p67_fixed.pdb,2
Volrustomig,CTLA4_CD152,Volrustomig_CTLA4_CD152_fixed.pdb,PDCD1_CD279_PD1,Volrustomig_PDCD1_CD279_PD1_fixed.pdb,2
Vonsetamig,CD3E,Vonsetamig_CD3E_fixed.pdb,TNFRSF17_CD269_BCMA_TNFRSF13A,Vonsetamig_TNFRSF17_CD269_BCMA_TNFRSF13A_fixed.pdb,2
Voxalatamab,CD3E,Voxalatamab_CD3E_fixed.pdb,FOLH1_GCPII_PSMA,Voxalatamab_FOLH1_GCPII_PSMA_fixed.pdb,2
Vudalimab,CTLA4_CD152,Vudalimab_CTLA4_CD152_fixed.pdb,PDCD1_CD279_PD1,Vudalimab_PDCD1_CD279_PD1_fixed.pdb,2
Xaluritamig,CD3,Xaluritamig_CD3_fixed.pdb,STEAP1,Xaluritamig_STEAP1_fixed.pdb,2
Xirestomig,PDL1_CD274,Xirestomig_PDL1_CD274_fixed.pdb,TNFRSF9_CD137_4-1BB,Xirestomig_TNFRSF9_CD137_4-1BB_fixed.pdb,2
Zanidatamab_ERBB2_CD340_HER2,,Zanidatamab_ERBB2_CD340_HER2_fixed.pdb,,,1
Zemocimig,F10,Zemocimig_F10_fixed.pdb,F9a,Zemocimig_F9a_fixed.pdb,2
Zenocutuzumab,ERBB2_CD340_HER2,Zenocutuzumab_ERBB2_CD340_HER2_fixed.pdb,ERBB3_HER3,Zenocutuzumab_ERBB3_HER3_fixed.pdb,2
Zeripatamig,CD19,Zeripatamig_CD19_fixed.pdb,IAP_CD47,Zeripatamig_IAP_CD47_fixed.pdb,2
Zifibancimig,ANPT2,Zifibancimig_ANPT2_fixed.pdb,VEGFA,Zifibancimig_VEGFA_fixed.pdb,2
Zubotamig,CD3E,Zubotamig_CD3E_fixed.pdb,VTCN1_B7H4,Zubotamig_VTCN1_B7H4_fixed.pdb,2
